Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),CC_Displacement,Transmission,Transmission_Type,Power(BHP),Torque(Nm),Mileage(l/100km),Emission,Price,car_id
Maruti,Swift,2018,Red,Hatchback,73950,1st,5,Diesel,42,1248,5-Speed,Manual,74.0,190.0,3.97,BS V,7730.0,123
Suzuki,Swift,2018,Red,Hatchback,73950,1st,5,Diesel,42,1248,5-Speed,Manual,74.0,190.0,3.97,BS V,7730.0,123
Renault,Lodgy,2015,Silver,Muv,70520,1st,8,Diesel,50,1461,5-Speed,Manual,108.0,245.0,4.75,BS V,6150.0,124
Honda,Jazz,2015,White,Hatchback,50735,2nd,5,Petrol,40,1199,5-Speed,Manual,88.51,110.0,6.02,BS IV,5190.0,125
Tata,Punch,2021,Bronze,Suv,6491,1st,5,Petrol,37,1199,5-Speed,Manual,84.0,113.0,5.29,BS IV,8690.0,126
Mahindra,Scorpio,2019,Black,Suv,42905,1st,7,Diesel,60,2179,6-Speed,Automatic,138.13,320.0,6.11,BS V,13990.0,127
Chevrolet,Beat,2015,Red,Hatchback,42222,1st,5,Diesel,35,936,5-Speed,Manual,57.0,150.0,3.93,BS IV,3560.0,128
Ford,EcoSport,2014,Silver,Suv,97902,1st,5,Diesel,52,1498,5-Speed,Manual,89.0,204.0,4.41,BS III,5620.0,129
Hyundai,Grand,2018,Grey,Hatchback,16760,1st,5,Petrol,43,1197,5-Speed,Manual,81.86,113.75,5.29,BS V,5220.0,130
Hyundai,i10,2018,Grey,Hatchback,16760,1st,5,Petrol,43,1197,5-Speed,Manual,81.86,113.75,5.29,BS V,5220.0,130
Hyundai,Elite,2019,Red,Hatchback,24860,1st,5,Petrol,40,1197,5-Speed,Manual,81.86,117.0,5.38,BS V,6990.0,131
Hyundai,i20,2019,Red,Hatchback,24860,1st,5,Petrol,40,1197,5-Speed,Manual,81.86,117.0,5.38,BS V,6990.0,131
Hyundai,Grand,2016,Grey,Hatchback,20685,1st,5,Petrol,43,1197,5-Speed,Manual,82.0,114.0,5.29,BS IV,5100.0,132
Hyundai,i10,2016,Grey,Hatchback,20685,1st,5,Petrol,43,1197,5-Speed,Manual,82.0,114.0,5.29,BS IV,5100.0,132
Maruti,S-Presso,2021,Red,Hatchback,2163,1st,5,Petrol,27,998,5-Speed,Manual,67.0,90.0,4.76,BS IV,5120.0,133
Suzuki,S-Presso,2021,Red,Hatchback,2163,1st,5,Petrol,27,998,5-Speed,Manual,67.0,90.0,4.76,BS IV,5120.0,133
Toyota,Etios,2018,White,Hatchback,18170,1st,5,Petrol,45,1197,5-Speed,Manual,79.0,104.0,5.51,BS V,6580.0,134
Toyota,Liva,2018,White,Hatchback,18170,1st,5,Petrol,45,1197,5-Speed,Manual,79.0,104.0,5.51,BS V,6580.0,134
Honda,Brio,2012,Blue,Hatchback,66699,1st,5,Petrol,35,1198,5-Speed,Manual,86.8,109.0,5.15,BS III,3690.0,135
Maruti,Ciaz,2020,Silver,Sedan,19958,1st,5,Petrol,43,1499,5-Speed,Manual,103.25,138.0,4.84,BS IV,9660.0,136
Suzuki,Ciaz,2020,Silver,Sedan,19958,1st,5,Petrol,43,1499,5-Speed,Manual,103.25,138.0,4.84,BS IV,9660.0,136
Ford,EcoSport,2021,Silver,Suv,15924,1st,5,Petrol,52,1496,5-Speed,Manual,120.69,149.0,6.29,BS IV,9320.0,137
Hyundai,Eon,2018,Red,Hatchback,24428,1st,5,Petrol,32,814,5-Speed,Manual,68.05,94.14,4.99,BS IV,3880.0,138
Toyota,Etios,2013,Red,Sedan,51187,1st,5,Petrol,45,1496,5-Speed,Manual,80.0,132.0,5.69,BS IV,4890.0,139
Toyota,Corolla,2016,Black,Sedan,47767,1st,5,Petrol,55,1798,6-Speed,Automatic,138.0,173.0,5.99,BS IV,9260.0,140
Toyota,Altis,2016,Black,Sedan,47767,1st,5,Petrol,55,1798,6-Speed,Automatic,138.0,173.0,5.99,BS IV,9260.0,140
MG,Hector,2020,Maroon,Suv,33433,1st,5,Petrol,60,1451,6-Speed,Automatic,141.0,250.0,7.16,BS IV,17090.0,141
Motors,Hector,2020,Maroon,Suv,33433,1st,5,Petrol,60,1451,6-Speed,Automatic,141.0,250.0,7.16,BS IV,17090.0,141
Maruti,Ciaz,2020,White,Sedan,40635,1st,5,Petrol,43,1499,5-Speed,Manual,103.25,138.0,4.84,BS IV,10390.0,142
Suzuki,Ciaz,2020,White,Sedan,40635,1st,5,Petrol,43,1499,5-Speed,Manual,103.25,138.0,4.84,BS IV,10390.0,142
MG,Hector,2020,Red,Suv,25835,1st,5,Petrol,60,1451,6-Speed,Automatic,141.0,250.0,7.16,BS IV,17700.0,143
Motors,Hector,2020,Red,Suv,25835,1st,5,Petrol,60,1451,6-Speed,Automatic,141.0,250.0,7.16,BS IV,17700.0,143
Maruti,Ciaz,2020,Grey,Sedan,30752,1st,5,Petrol,43,1462,4-Speed,Automatic,103.25,138.0,5.0,BS IV,11630.0,144
Suzuki,Ciaz,2020,Grey,Sedan,30752,1st,5,Petrol,43,1462,4-Speed,Automatic,103.25,138.0,5.0,BS IV,11630.0,144
Honda,City,2020,Red,Sedan,16332,1st,5,Petrol,40,1498,6-Speed,Automatic,119.35,145.0,5.43,BS IV,13490.0,145
Kia,Seltos,2020,Orange,Suv,20930,1st,5,Petrol,50,1353,7-Speed,Automatic,138.0,242.0,5.95,BS IV,17050.0,146
Ford,Figo,2019,Red,Hatchback,14499,1st,5,Diesel,40,1499,5-Speed,Manual,98.96,215.0,4.1,BS V,7390.0,147
Hyundai,Verna,2014,Grey,Sedan,72009,1st,5,Diesel,43,1582,6-Speed,Automatic,126.0,260.0,5.88,BS III,6000.0,148
Hyundai,Venue,2019,White,Suv,23164,1st,5,Petrol,45,998,6-Speed,Automatic,118.35,171.6,5.47,BS V,10390.0,149
Maruti,Ciaz,2019,Blue,Sedan,28618,1st,5,Petrol,43,1499,5-Speed,Manual,103.25,138.0,4.84,BS IV,9500.0,150
Suzuki,Ciaz,2019,Blue,Sedan,28618,1st,5,Petrol,43,1499,5-Speed,Manual,103.25,138.0,4.84,BS IV,9500.0,150
Honda,WR-V,2017,Red,Suv,88695,1st,5,Petrol,40,1199,5-Speed,Manual,88.5,110.0,6.06,BS IV,7480.0,151
Maruti,Dzire,2018,Blue,Sedan,7858,1st,5,Petrol,37,1499,5-Speed,Manual,88.5,113.0,4.15,BS V,8200.0,152
Suzuki,Dzire,2018,Blue,Sedan,7858,1st,5,Petrol,37,1499,5-Speed,Manual,88.5,113.0,4.15,BS V,8200.0,152
Hyundai,i20,2016,Red,Crossover,88827,1st,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.82,BS V,6450.0,153
Hyundai,Active,2016,Red,Crossover,88827,1st,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.82,BS V,6450.0,153
Tata,Zest,2017,Silver,Sedan,7697,1st,5,Petrol,44,1193,5-Speed,Manual,89.0,140.0,5.69,BS V,5700.0,154
MG,Hector,2020,Black,Suv,31271,1st,5,Petrol,60,1451,6-Speed,Automatic,141.0,250.0,7.16,BS IV,17640.0,155
Motors,Hector,2020,Black,Suv,31271,1st,5,Petrol,60,1451,6-Speed,Automatic,141.0,250.0,7.16,BS IV,17640.0,155
Hyundai,Elite,2018,Red,Hatchback,17121,1st,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.38,BS V,6770.0,156
Hyundai,i20,2018,Red,Hatchback,17121,1st,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.38,BS V,6770.0,156
Hyundai,Fluidic,2017,White,Sedan,60287,1st,5,Petrol,43,1591,4-Speed,Automatic,121.3,154.9,5.88,BS IV,8370.0,157
Hyundai,Verna,2017,White,Sedan,60287,1st,5,Petrol,43,1591,4-Speed,Automatic,121.3,154.9,5.88,BS IV,8370.0,157
Hyundai,4S,2017,White,Sedan,60287,1st,5,Petrol,43,1591,4-Speed,Automatic,121.3,154.9,5.88,BS IV,8370.0,157
MG,Hector,2020,Red,Suv,8265,1st,5,Petrol,60,1451,6-Speed,Automatic,141.0,250.0,7.16,BS IV,18260.0,158
Motors,Hector,2020,Red,Suv,8265,1st,5,Petrol,60,1451,6-Speed,Automatic,141.0,250.0,7.16,BS IV,18260.0,158
Jeep,Compass,2017,Red,Suv,43091,2nd,5,Diesel,60,1956,6-Speed,Automatic,170.0,350.0,5.85,BS IV,12900.0,159
Jeep,Compass,2017,Blue,Suv,44503,1st,5,Diesel,60,1956,6-Speed,Automatic,170.63,350.0,5.85,BS IV,15590.0,160
Hyundai,New,2020,Blue,Hatchback,17056,1st,5,Petrol,35,1086,5-Speed,Manual,68.07,99.07,4.93,BS IV,5230.0,161
Hyundai,Santro,2020,Blue,Hatchback,17056,1st,5,Petrol,35,1086,5-Speed,Manual,68.07,99.07,4.93,BS IV,5230.0,161
Maruti,S-Cross,2018,Blue,Suv,61922,1st,5,Diesel,48,1248,5-Speed,Manual,89.0,200.0,4.23,BS V,9420.0,162
Suzuki,S-Cross,2018,Blue,Suv,61922,1st,5,Diesel,48,1248,5-Speed,Manual,89.0,200.0,4.23,BS V,9420.0,162
Hyundai,i20,2017,Silver,Crossover,60629,1st,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.82,BS V,7250.0,163
Hyundai,Active,2017,Silver,Crossover,60629,1st,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.82,BS V,7250.0,163
Hyundai,i20,2017,Black,Crossover,32602,1st,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.82,BS V,7110.0,164
Hyundai,Active,2017,Black,Crossover,32602,1st,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.82,BS V,7110.0,164
Ford,EcoSport,2020,Silver,Suv,26116,1st,5,Petrol,52,1496,5-Speed,Manual,121.0,149.0,4.72,BS IV,9740.0,165
Hyundai,i20,2016,Brown,Crossover,90058,1st,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.82,BS V,6080.0,166
Hyundai,Active,2016,Brown,Crossover,90058,1st,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.82,BS V,6080.0,166
Hyundai,i10,2012,Grey,Hatchback,63676,1st,5,Petrol,35,1086,5-Speed,Manual,68.05,99.04,5.05,BS III,2730.0,167
Hyundai,i10,2011,Grey,Hatchback,43918,2nd,5,Petrol,35,1197,4-Speed,Automatic,78.9,111.8,5.9,BS III,3040.0,168
Maruti,Alto,2020,Silver,Hatchback,6301,1st,5,Petrol,35,796,5-Speed,Manual,47.3,69.0,4.54,BS IV,3610.0,169
Maruti,800,2020,Silver,Hatchback,6301,1st,5,Petrol,35,796,5-Speed,Manual,47.3,69.0,4.54,BS IV,3610.0,169
Suzuki,Alto,2020,Silver,Hatchback,6301,1st,5,Petrol,35,796,5-Speed,Manual,47.3,69.0,4.54,BS IV,3610.0,169
Suzuki,800,2020,Silver,Hatchback,6301,1st,5,Petrol,35,796,5-Speed,Manual,47.3,69.0,4.54,BS IV,3610.0,169
Renault,Kwid,2017,Grey,Hatchback,29907,1st,5,Petrol,28,799,5-Speed,Manual,53.3,72.0,3.98,BS V,3650.0,170
Hyundai,Elite,2016,White,Hatchback,41218,1st,5,Diesel,45,1396,6-Speed,Automatic,89.0,220.0,4.44,BS IV,6160.0,171
Hyundai,i20,2016,White,Hatchback,41218,1st,5,Diesel,45,1396,6-Speed,Automatic,89.0,220.0,4.44,BS IV,6160.0,171
Maruti,Ertiga,2015,Brown,Muv,5475,1st,7,Petrol,45,1373,5-Speed,Manual,93.7,130.0,6.24,BS III,6900.0,172
Suzuki,Ertiga,2015,Brown,Muv,5475,1st,7,Petrol,45,1373,5-Speed,Manual,93.7,130.0,6.24,BS III,6900.0,172
Hyundai,Grand,2022,Blue,Hatchback,4305,1st,5,Petrol,37,1197,5-Speed,Manual,81.86,113.75,4.98,BS IV,7490.0,173
Hyundai,i10,2022,Blue,Hatchback,4305,1st,5,Petrol,37,1197,5-Speed,Manual,81.86,113.75,4.98,BS IV,7490.0,173
Hyundai,Nios,2022,Blue,Hatchback,4305,1st,5,Petrol,37,1197,5-Speed,Manual,81.86,113.75,4.98,BS IV,7490.0,173
Ford,EcoSport,2017,Bronze,Suv,43112,1st,5,Diesel,52,1498,5-Speed,Manual,99.0,205.0,4.41,BS IV,6190.0,174
Volkswagen,Polo,2015,Grey,Hatchback,53807,1st,5,Diesel,45,1498,5-Speed,Manual,88.0,230.0,4.96,BS V,5470.0,175
Hyundai,Elite,2015,Silver,Hatchback,37837,1st,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.38,BS IV,5790.0,176
Hyundai,i20,2015,Silver,Hatchback,37837,1st,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.38,BS IV,5790.0,176
Renault,Triber,2019,White,Muv,11074,1st,7,Petrol,40,999,5-Speed,Manual,71.0,96.0,5.0,BS IV,6860.0,177
Maruti,Baleno,2017,Blue,Hatchback,15748,1st,5,Petrol,37,1197,5-Speed,Manual,81.8,113.0,4.76,BS V,6790.0,178
Suzuki,Baleno,2017,Blue,Hatchback,15748,1st,5,Petrol,37,1197,5-Speed,Manual,81.8,113.0,4.76,BS V,6790.0,178
Maruti,Ritz,2015,Red,Hatchback,14593,1st,5,Petrol,43,1197,5-Speed,Manual,85.0,113.0,5.41,BS IV,4000.0,179
Suzuki,Ritz,2015,Red,Hatchback,14593,1st,5,Petrol,43,1197,5-Speed,Manual,85.0,113.0,5.41,BS IV,4000.0,179
Maruti,Ciaz,2015,White,Sedan,30228,1st,5,Petrol,43,1373,4-Speed,Automatic,91.0,130.0,5.23,BS IV,6120.0,180
Suzuki,Ciaz,2015,White,Sedan,30228,1st,5,Petrol,43,1373,4-Speed,Automatic,91.0,130.0,5.23,BS IV,6120.0,180
MG,Hector,2020,Black,Suv,44897,1st,6,Petrol,60,1451,6-Speed,Automatic,141.0,250.0,8.57,BS IV,16440.0,181
MG,Plus,2020,Black,Suv,44897,1st,6,Petrol,60,1451,6-Speed,Automatic,141.0,250.0,8.57,BS IV,16440.0,181
Motors,Hector,2020,Black,Suv,44897,1st,6,Petrol,60,1451,6-Speed,Automatic,141.0,250.0,8.57,BS IV,16440.0,181
Motors,Plus,2020,Black,Suv,44897,1st,6,Petrol,60,1451,6-Speed,Automatic,141.0,250.0,8.57,BS IV,16440.0,181
Maruti,Wagon,2013,Grey,Hatchback,55995,1st,5,Petrol,35,998,5-Speed,Manual,67.1,90.0,5.29,BS V,3420.0,182
Maruti,R,2013,Grey,Hatchback,55995,1st,5,Petrol,35,998,5-Speed,Manual,67.1,90.0,5.29,BS V,3420.0,182
Suzuki,Wagon,2013,Grey,Hatchback,55995,1st,5,Petrol,35,998,5-Speed,Manual,67.1,90.0,5.29,BS V,3420.0,182
Suzuki,R,2013,Grey,Hatchback,55995,1st,5,Petrol,35,998,5-Speed,Manual,67.1,90.0,5.29,BS V,3420.0,182
Tata,Altroz,2021,Grey,Hatchback,9936,1st,5,Petrol,37,1199,5-Speed,Manual,84.82,113.0,5.25,BS IV,7900.0,183
Hyundai,Eon,2017,Red,Hatchback,18790,1st,5,Petrol,32,814,5-Speed,Manual,68.05,94.14,4.99,BS IV,3600.0,184
Maruti,Alto,2015,Red,Hatchback,64323,1st,5,Petrol,35,796,5-Speed,Manual,47.3,69.0,4.4,BS III,2760.0,185
Maruti,800,2015,Red,Hatchback,64323,1st,5,Petrol,35,796,5-Speed,Manual,47.3,69.0,4.4,BS III,2760.0,185
Suzuki,Alto,2015,Red,Hatchback,64323,1st,5,Petrol,35,796,5-Speed,Manual,47.3,69.0,4.4,BS III,2760.0,185
Suzuki,800,2015,Red,Hatchback,64323,1st,5,Petrol,35,796,5-Speed,Manual,47.3,69.0,4.4,BS III,2760.0,185
Hyundai,i10,2013,Red,Hatchback,32849,1st,5,Petrol,35,1197,5-Speed,Manual,78.9,111.7,4.91,BS III,3520.0,186
Maruti,Alto,2020,Red,Hatchback,22777,1st,5,Petrol,35,796,5-Speed,Manual,47.33,69.0,4.54,BS IV,3630.0,187
Maruti,800,2020,Red,Hatchback,22777,1st,5,Petrol,35,796,5-Speed,Manual,47.33,69.0,4.54,BS IV,3630.0,187
Suzuki,Alto,2020,Red,Hatchback,22777,1st,5,Petrol,35,796,5-Speed,Manual,47.33,69.0,4.54,BS IV,3630.0,187
Suzuki,800,2020,Red,Hatchback,22777,1st,5,Petrol,35,796,5-Speed,Manual,47.33,69.0,4.54,BS IV,3630.0,187
Hyundai,i10,2013,White,Hatchback,37652,1st,5,Petrol,35,1086,5-Speed,Manual,68.05,99.04,5.05,BS III,3330.0,188
Hyundai,Elite,2016,Red,Hatchback,93446,1st,5,Diesel,45,1396,6-Speed,Automatic,88.73,219.7,4.44,BS IV,5890.0,189
Hyundai,i20,2016,Red,Hatchback,93446,1st,5,Diesel,45,1396,6-Speed,Automatic,88.73,219.7,4.44,BS IV,5890.0,189
Renault,Kiger,2022,Blue,Suv,11031,1st,5,Petrol,40,999,5-Speed,Manual,71.0,96.0,5.22,BS IV,7350.0,190
Maruti,Swift,2021,White,Hatchback,9752,1st,5,Petrol,37,1197,5-Speed,Manual,81.8,113.0,4.71,BS IV,7900.0,191
Suzuki,Swift,2021,White,Hatchback,9752,1st,5,Petrol,37,1197,5-Speed,Manual,81.8,113.0,4.71,BS IV,7900.0,191
Maruti,Vitara,2019,Red,Suv,15418,1st,5,Diesel,48,1248,5-Speed,Manual,89.0,200.0,4.12,BS V,11170.0,192
Maruti,Brezza,2019,Red,Suv,15418,1st,5,Diesel,48,1248,5-Speed,Manual,89.0,200.0,4.12,BS V,11170.0,192
Suzuki,Vitara,2019,Red,Suv,15418,1st,5,Diesel,48,1248,5-Speed,Manual,89.0,200.0,4.12,BS V,11170.0,192
Suzuki,Brezza,2019,Red,Suv,15418,1st,5,Diesel,48,1248,5-Speed,Manual,89.0,200.0,4.12,BS V,11170.0,192
Maruti,Swift,2020,Grey,Hatchback,8249,1st,5,Petrol,37,1197,5-Speed,Manual,81.8,113.0,4.71,BS IV,6600.0,193
Suzuki,Swift,2020,Grey,Hatchback,8249,1st,5,Petrol,37,1197,5-Speed,Manual,81.8,113.0,4.71,BS IV,6600.0,193
Hyundai,Grand,2021,Blue,Hatchback,10514,1st,5,Petrol,37,1197,5-Speed,Manual,81.86,113.75,4.83,BS IV,6780.0,194
Hyundai,i10,2021,Blue,Hatchback,10514,1st,5,Petrol,37,1197,5-Speed,Manual,81.86,113.75,4.83,BS IV,6780.0,194
Hyundai,Nios,2021,Blue,Hatchback,10514,1st,5,Petrol,37,1197,5-Speed,Manual,81.86,113.75,4.83,BS IV,6780.0,194
Honda,City,2019,Silver,Sedan,24136,2nd,5,Petrol,40,1497,5-Speed,Manual,117.6,145.0,5.75,BS IV,8570.0,195
Renault,Kwid,2019,Blue,Hatchback,18638,1st,5,Petrol,28,999,5-Speed,Manual,67.0,91.0,4.55,BS IV,4830.0,196
Hyundai,Eon,2013,Red,Hatchback,93653,2nd,5,Petrol,32,814,5-Speed,Manual,68.05,94.14,4.99,BS IV,2480.0,197
Jeep,Compass,2017,Black,Suv,60049,1st,5,Diesel,60,1956,6-Speed,Automatic,170.0,350.0,5.85,BS IV,15000.0,198
Maruti,Dzire,2019,Brown,Sedan,31330,2nd,5,Petrol,37,1499,5-Speed,Manual,88.5,113.0,4.15,BS V,7590.0,199
Suzuki,Dzire,2019,Brown,Sedan,31330,2nd,5,Petrol,37,1499,5-Speed,Manual,88.5,113.0,4.15,BS V,7590.0,199
Hyundai,i10,2012,Red,Hatchback,49014,2nd,5,Petrol,35,1197,5-Speed,Manual,78.9,111.7,4.91,BS III,3360.0,200
Maruti,Ciaz,2015,Silver,Sedan,56221,1st,5,Petrol,43,1373,5-Speed,Manual,91.1,130.0,4.82,BS IV,6770.0,201
Suzuki,Ciaz,2015,Silver,Sedan,56221,1st,5,Petrol,43,1373,5-Speed,Manual,91.1,130.0,4.82,BS IV,6770.0,201
Maruti,Baleno,2017,Blue,Hatchback,20894,1st,5,Petrol,37,1197,5-Speed,Manual,81.8,113.0,4.76,BS V,7110.0,202
Suzuki,Baleno,2017,Blue,Hatchback,20894,1st,5,Petrol,37,1197,5-Speed,Manual,81.8,113.0,4.76,BS V,7110.0,202
Hyundai,Creta,2016,Grey,Suv,88735,2nd,5,Diesel,60,1596,6-Speed,Manual,126.0,265.0,5.88,BS IV,10990.0,203
Hyundai,Creta,2016,Grey,Suv,88735,2nd,5,Diesel,60,1582,6-Speed,Manual,126.0,265.0,5.88,BS IV,10990.0,205
Renault,Kiger,2021,White,Suv,9034,1st,5,Petrol,40,1298,5-Speed,Automatic,99.0,152.0,4.87,BS IV,10780.0,207
Maruti,Celerio,2014,Silver,Hatchback,63746,3rd,5,Petrol,35,998,5-Speed,Automatic,67.04,90.0,4.33,BS IV,3480.0,208
Suzuki,Celerio,2014,Silver,Hatchback,63746,3rd,5,Petrol,35,998,5-Speed,Automatic,67.04,90.0,4.33,BS IV,3480.0,208
Hyundai,Elite,2016,White,Hatchback,85602,1st,5,Petrol,45,1197,5-Speed,Manual,81.83,114.7,5.38,BS IV,6590.0,209
Hyundai,i20,2016,White,Hatchback,85602,1st,5,Petrol,45,1197,5-Speed,Manual,81.83,114.7,5.38,BS IV,6590.0,209
Hyundai,Verna,2013,Purple,Sedan,59054,2nd,5,Petrol,43,1591,5-Speed,Automatic,121.0,158.0,5.88,BS III,5010.0,210
Renault,Duster,2017,White,Suv,50811,1st,5,Diesel,50,1461,6-Speed,Manual,108.45,245.0,5.1,BS V,10130.0,211
Kia,Seltos,2020,Silver,Suv,38198,1st,5,Petrol,50,1353,7-Speed,Manual,138.0,242.0,5.95,BS IV,17410.0,212
Maruti,Ciaz,2018,Silver,Sedan,92118,1st,5,Petrol,43,1373,4-Speed,Manual,91.1,130.0,4.82,BS IV,8290.0,213
Suzuki,Ciaz,2018,Silver,Sedan,92118,1st,5,Petrol,43,1373,4-Speed,Manual,91.1,130.0,4.82,BS IV,8290.0,213
Hyundai,Xcent,2014,White,Sedan,72801,1st,5,Petrol,43,1197,5-Speed,Manual,82.0,114.0,5.24,BS IV,4960.0,214
Hyundai,Eon,2014,Grey,Hatchback,38592,2nd,5,Petrol,32,1798,5-Speed,Manual,55.2,74.5,4.74,BS IV,2690.0,215
Honda,City,2019,Brown,Sedan,22379,1st,5,Petrol,40,1497,5-Speed,Manual,117.6,145.0,5.75,BS IV,9270.0,216
Maruti,Wagon,2016,Silver,Hatchback,44822,2nd,5,Petrol,32,998,5-Speed,Manual,67.05,90.0,4.59,BS V,4510.0,217
Maruti,R,2016,Silver,Hatchback,44822,2nd,5,Petrol,32,998,5-Speed,Manual,67.05,90.0,4.59,BS V,4510.0,217
Suzuki,Wagon,2016,Silver,Hatchback,44822,2nd,5,Petrol,32,998,5-Speed,Manual,67.05,90.0,4.59,BS V,4510.0,217
Suzuki,R,2016,Silver,Hatchback,44822,2nd,5,Petrol,32,998,5-Speed,Manual,67.05,90.0,4.59,BS V,4510.0,217
Renault,Kwid,2021,White,Hatchback,13069,1st,5,Petrol,28,1298,5-Speed,Automatic,67.0,91.0,4.55,BS IV,5320.0,218
Maruti,Wagon,2011,Brown,Hatchback,96939,1st,5,Petrol,35,998,5-Speed,Manual,67.1,90.0,5.29,BS V,3380.0,219
Maruti,R,2011,Brown,Hatchback,96939,1st,5,Petrol,35,998,5-Speed,Manual,67.1,90.0,5.29,BS V,3380.0,219
Suzuki,Wagon,2011,Brown,Hatchback,96939,1st,5,Petrol,35,998,5-Speed,Manual,67.1,90.0,5.29,BS V,3380.0,219
Suzuki,R,2011,Brown,Hatchback,96939,1st,5,Petrol,35,998,5-Speed,Manual,67.1,90.0,5.29,BS V,3380.0,219
Mahindra,XUV500,2015,Silver,Suv,71397,2nd,7,Diesel,70,2179,6-Speed,Manual,140.0,330.0,6.25,BS IV,10320.0,220
Hyundai,New,2019,Beige,Hatchback,21903,1st,5,Petrol,35,1086,5-Speed,Manual,68.07,99.07,4.93,BS IV,5570.0,221
Hyundai,Santro,2019,Beige,Hatchback,21903,1st,5,Petrol,35,1086,5-Speed,Manual,68.07,99.07,4.93,BS IV,5570.0,221
Hyundai,Grand,2020,Grey,Hatchback,9468,1st,5,Petrol,43,1197,5-Speed,Automatic,81.86,113.75,5.29,BS V,6530.0,222
Hyundai,i10,2020,Grey,Hatchback,9468,1st,5,Petrol,43,1197,5-Speed,Automatic,81.86,113.75,5.29,BS V,6530.0,222
Honda,City,2018,Brown,Sedan,60209,1st,5,Petrol,40,1497,5-Speed,Manual,117.6,145.0,5.75,BS IV,8980.0,223
Renault,Duster,2016,Orange,Suv,69658,1st,5,Diesel,50,1461,6-Speed,Manual,108.45,245.0,5.1,BS V,9120.0,224
Hyundai,Elite,2015,White,Hatchback,81103,1st,5,Diesel,45,1396,6-Speed,Manual,88.73,219.7,4.44,BS IV,6420.0,225
Hyundai,i20,2015,White,Hatchback,81103,1st,5,Diesel,45,1396,6-Speed,Manual,88.73,219.7,4.44,BS IV,6420.0,225
Renault,Triber,2020,Blue,Muv,57503,1st,7,Petrol,40,999,5-Speed,Manual,71.0,96.0,5.0,BS IV,6510.0,226
Maruti,Celerio,2018,Silver,Hatchback,45560,1st,5,Petrol,35,998,5-Speed,Automatic,67.0,90.0,4.33,BS IV,5030.0,227
Suzuki,Celerio,2018,Silver,Hatchback,45560,1st,5,Petrol,35,998,5-Speed,Automatic,67.0,90.0,4.33,BS IV,5030.0,227
Maruti,A-Star,2012,Silver,Hatchback,45008,2nd,5,Petrol,35,998,4-Speed,Automatic,67.0,90.0,5.89,BS IV,3300.0,228
Suzuki,A-Star,2012,Silver,Hatchback,45008,2nd,5,Petrol,35,998,4-Speed,Automatic,67.0,90.0,5.89,BS IV,3300.0,228
Maruti,Swift,2011,Grey,Hatchback,51210,2nd,5,Petrol,43,1197,5-Speed,Manual,85.0,113.0,6.21,BS IV,3950.0,229
Suzuki,Swift,2011,Grey,Hatchback,51210,2nd,5,Petrol,43,1197,5-Speed,Manual,85.0,113.0,6.21,BS IV,3950.0,229
Hyundai,Creta,2017,Silver,Suv,44894,1st,5,Diesel,60,1582,6-Speed,Manual,126.0,265.0,5.88,BS IV,12350.0,230
Maruti,S-Cross,2015,White,Suv,39515,1st,5,Diesel,48,1248,5-Speed,Automatic,89.0,200.0,4.23,BS V,8080.0,231
Suzuki,S-Cross,2015,White,Suv,39515,1st,5,Diesel,48,1248,5-Speed,Automatic,89.0,200.0,4.23,BS V,8080.0,231
Hyundai,Grand,2015,Silver,Hatchback,54287,1st,5,Petrol,43,1197,5-Speed,Manual,82.0,114.0,5.29,BS IV,4580.0,232
Hyundai,i10,2015,Silver,Hatchback,54287,1st,5,Petrol,43,1197,5-Speed,Manual,82.0,114.0,5.29,BS IV,4580.0,232
Hyundai,Verna,2013,White,Sedan,91039,1st,5,Petrol,43,1591,5-Speed,Automatic,121.0,158.0,5.88,BS III,5140.0,233
Honda,Amaze,2015,Grey,Sedan,49435,1st,5,Petrol,35,1198,5-Speed,Manual,86.7,109.0,5.56,BS IV,5120.0,234
Skoda,Superb,2019,Black,Sedan,9686,1st,5,Petrol,66,1798,7-Speed,Automatic,177.0,250.0,6.82,BS V,29410.0,235
Honda,City,2021,White,Sedan,12092,1st,5,Petrol,40,1498,6-Speed,Manual,119.3,145.0,5.43,BS IV,13460.0,236
Maruti,Baleno,2019,Blue,Hatchback,27053,1st,5,Petrol,37,1596,5-Speed,Manual,81.8,113.0,4.76,BS V,8440.0,237
Suzuki,Baleno,2019,Blue,Hatchback,27053,1st,5,Petrol,37,1596,5-Speed,Manual,81.8,113.0,4.76,BS V,8440.0,237
